date,DATE,Average expenditure 25 - 34,Average expenditure 35 - 44,Average expenditure 45 - 54,Average expenditure 65 - 74,CPI,Employees Construction,GDP,House for sale to sold,Industrial production,Mortgage,Price house under Construction,Private owned house ,PPI,Unemployment Rate ,Unemployment construction,Population,target,gdp_per_capita,CPI_TREND,GDP_RATE,GDP_TREND,EMP_CONST_RATE,EMP_CONST_TREND,houses_for_sale_to_sold_rate,HOUSES_S2S_TREND,CPI cum_sum,House for sale to sold cum_sum,Private house under Construction cum_sum,Private owned house cum_sum,Private house under Construction Rate,Private owned house rate,Private house under Construction Rate Trend,Private owned house rate trend
18,2004-07,44080,107765,54570,37716,-0.2,6977,12305.307,1.5040773967762742,93.5511,6.056,1247,1881,155.6,5.5,1.8562979903656263,293603.0,151.338,0.04191138033330722,DOWN,0.061903032725642036,UP,0.03530121509477212,UP,0.16059030613181796,UP,4.3999999999999995,25.83768261880861,21606,32911,1.0756890421099308,1.0345600453871255,UP,UP
19,2004-08,44277,108422,54828,37888,0.1,7003,12379.277,1.4586150226995167,93.6328,5.8675,1238,1911,155.6,5.4,1.791759469228055,293846.67,152.633,0.04212835558082043,UP,0.06198982419143662,UP,0.03531573861850785,UP,0.15213588408534598,UP,4.499999999999999,27.296297641508126,22844,34822,0.9920399353532026,0.9650449998410424,UP,UP
20,2004-09,44474,109079,55086,38060,0.2,7029,12453.247,1.410986973710262,93.7418,5.754,1247,1796,155.6,5.4,1.916922612182061,294090.34,154.179,0.04234497127651319,UP,0.06207559200619569,UP,0.03562496622982588,UP,0.055357349969852906,UP,4.699999999999999,28.707284615218388,24091,36618,0.9209089090404242,0.8934902220217863,UP,UP
21,2004-10,44671,109736,55344,38232,0.5,7077,12527.214,1.3609765531356006,94.5671,5.7225,1264,1839,155.6,5.5,1.9315214116032138,294334.0,155.75,0.0425612195668866,UP,0.06215968996713424,UP,0.04228319060404579,UP,0.01927040494453275,UP,5.199999999999999,30.068261168353988,25355,38457,0.8602120216316902,0.8333538742913192,UP,UP
22,2004-11,44868,110393,55602,38404,0.1,7091,12607.234,1.4586150226995167,94.8,5.73,1268,1758,155.6,5.4,2.0014800002101243,294541.67,157.527,0.04280288761858382,UP,0.06425494640190375,UP,0.042492170512174035,UP,0.03319793003911915,UP,5.299999999999999,31.526876191053503,26623,40215,0.8064984030250889,0.7816176935250477,UP,UP
23,2004-12,45065,111050,55860,38576,-0.4,7117,12687.254,1.410986973710262,95.5426,5.752,1280,1921,155.6,5.4,2.2512917986064953,294749.34,159.33,0.04304421512869206,DOWN,0.0663280891317254,UP,0.0416009498809907,UP,0.017655180893907347,UP,4.899999999999999,32.93786316476377,27903,42136,0.7585677161896159,0.7391384363953782,UP,UP
24,2005-01,45278,111376,55996,38772,0.2,7095,12767.286,1.4816045409242156,95.8831,5.71,1302,1892,156.0,5.3,2.468099531471619,294957.0,161.288,0.04328524496791058,UP,0.06837932040548456,UP,0.03543367177256494,UP,0.10419355888140086,UP,5.099999999999999,34.419467705687985,29205,44028,0.7169516411922906,0.7015406245992928,UP,UP
25,2005-02,45488,111708,56138,38971,0.6,7153,12819.076,1.4586150226995167,96.5616,5.6275,1322,1908,161.6,5.4,2.509599262378372,295167.33,163.344,0.04342986061499421,UP,0.06714776790548352,UP,0.04503655790913716,UP,0.10873370096918963,UP,5.699999999999998,35.878082728387504,30527,45936,0.6806142604457806,0.6682082322126932,UP,UP
26,2005-03,45698,112040,56280,39170,0.8,7181,12870.866,1.410986973710262,96.4371,5.928,1311,1787,159.2,5.2,2.33214389523559,295377.66,165.812,0.04357427030872951,UP,0.06592762311599895,UP,0.0418030725656193,UP,0.096700062177888,UP,6.499999999999998,37.28906970209776,31838,47723,0.6467499531312567,0.6329503635995174,UP,UP
27,2005-04,45908,112372,56422,39369,0.7,7266,12922.656,1.4586150226995167,96.628,5.855,1324,1927,163.2,5.2,2.0014800002101243,295588.0,167.501,0.04371847300972976,UP,0.0647180669120103,UP,0.051539605160545336,UP,0.05085311093302672,UP,7.199999999999998,38.74768472479728,33162,49650,0.6167715410439096,0.5988445575159203,UP,UP
28,2005-05,46118,112704,56564,39568,-0.1,7294,12995.986,1.4350845252893227,96.7306,5.72,1322,2103,163.2,5.1,1.8082887711792655,295838.67,169.351,0.04392930106128452,DOWN,0.06509366707980448,UP,0.04859824400762996,UP,0.0722916592151995,UP,7.099999999999999,40.1827692500866,34484,51753,0.589237664895517,0.5732387774992129,UP,UP
29,2005-06,46328,113036,56706,39767,0.1,7333,13069.316,1.4586150226995167,97.1488,5.582,1329,1965,163.2,5.0,1.7404661748405046,296089.34,171.19,0.0441397721376933,UP,0.06546519113500582,UP,0.0519179197224153,UP,0.06928487506443944,UP,7.199999999999998,41.64138427278612,35813,53718,0.5647878814205407,0.5487936624197851,UP,UP
30,2005-07,46538,113368,56848,39966,0.5,7353,13142.642,1.4350845252893227,96.8383,5.695,1338,1886,163.2,5.0,1.6486586255873816,296340.0,172.86,0.044349875143416345,UP,0.06583142555509461,UP,0.05248936825698575,UP,-0.046955934708583315,DOWN,7.699999999999998,43.07646879807544,37151,55604,0.5420196348070986,0.5244481927202979,UP,UP
31,2005-08,46748,113700,56990,40165,0.5,7394,13203.162,1.5040773967762742,97.1603,5.82,1356,1952,163.2,4.9,1.7404661748405046,296588.67,174.442,0.04451674435169759,UP,0.06443248145557694,UP,0.0543302318410595,UP,0.030692313914810736,UP,8.2,44.58054619485171,38507,57556,0.5221515421460179,0.5025090159567644,UP,UP
32,2005-09,46958,114032,57132,40364,1.2,7415,13263.682,1.547562508716013,95.2729,5.774,1377,1922,163.2,5.0,1.7404661748405046,296837.34,176.438,0.044683333976783375,UP,0.06304823131694524,UP,0.05346052739612719,UP,0.09239167724308713,UP,9.399999999999999,46.128108703567726,39884,59478,0.5041369142009091,0.4850665734884025,UP,UP
33,2005-10,47168,114364,57274,40563,0.2,7460,13324.204,1.5040773967762742,96.4383,6.065,1376,1962,163.2,5.0,1.667706820558076,297086.0,178.028,0.04484965296244185,UP,0.0616788331150843,UP,0.05270532512202172,UP,0.09997718897925015,UP,9.599999999999998,47.632186100344,41260,61440,0.4869175583961234,0.46852035484130944,UP,UP
34,2005-11,47378,114696,57416,40762,-0.8,7524,13415.854,1.6094379124341003,97.4951,6.33,1395,1907,163.2,5.0,1.7404661748405046,297302.67,179.68,0.04512523886852412,DOWN,0.06216636573965134,UP,0.05927153711692436,UP,0.09839762441580291,UP,8.799999999999997,49.241624012778104,42655,63347,0.47136899652341196,0.45438748933082884,UP,UP
35,2005-12,47588,115028,57558,40961,-0.4,7533,13507.504,1.589235205116581,97.9788,6.272,1405,1941,163.3,4.9,2.1041341542702074,297519.34,180.91,0.045400423380880045,DOWN,0.06264751541634625,UP,0.056807080526423644,UP,0.11896345656953274,UP,8.399999999999997,50.830859217894684,44060,65288,0.4568181314457575,0.43790576998585357,UP,UP
36,2006-01,47576,115225,57627,41068,0.8,7601,13599.16,1.667706820558076,98.1305,6.145,1424,2036,167.4,4.7,2.1972245773362196,297736.0,182.321,0.0456752290619878,UP,0.06312190803742498,UP,0.06888950697189748,UP,0.11832387165246698,UP,9.199999999999998,52.49856603845276,45484,67324,0.4430206882702037,0.42469099010277445,UP,UP
37,2006-02,47570,115411,57691,41176,0.2,7664,13650.58,1.8082887711792655,98.1779,6.2525,1423,2048,168.9,4.8,2.151762203259462,297960.0,183.287,0.045813464894616726,UP,0.06284763755873995,UP,0.06900219154231266,UP,0.2148935968776264,UP,9.399999999999997,54.30685480963202,46907,69372,0.42955538013040423,0.41223420450963116,UP,UP
38,2006-03,47564,115597,57755,41284,0.6,7689,13702.0,1.7749523509116738,98.3898,6.324,1423,2245,168.9,4.7,2.1400661634962708,298184.0,184.364,0.04595149303785582,UP,0.06257549996913767,UP,0.06835208692186337,UP,0.22948413713806565,UP,9.999999999999996,56.0818071605437,48330,71617,0.4173919409240485,0.40591901397588226,UP,UP
39,2006-04,47558,115783,57819,41392,0.9,7726,13753.424,1.840549633397487,98.6769,6.5075,1401,2071,169.4,4.7,1.9315214116032138,298408.0,184.329,0.04608932736387765,UP,0.0623057613118271,UP,0.06138533044507931,UP,0.23257686990648332,UP,10.899999999999997,57.922356793941184,49731,73688,0.4052238390316578,0.3948415731947529,UP,UP
40,2006-05,47552,115969,57883,41500,0.5,7713,13792.344,1.824549292051046,98.7052,6.5975,1409,1897,169.4,4.6,1.8870696490323797,298665.33,184.156,0.046179929890088005,UP,0.05947311505391667,UP,0.055855124565373546,UP,0.24010924315677135,UP,11.399999999999997,59.74690608599223,51140,75585,0.39407152151536207,0.37877544932095425,UP,UP
41,2006-06,47546,116155,57947,41608,0.2,7699,13831.264,1.840549633397487,99.0427,6.682,1383,2050,169.4,4.6,1.7227665977411035,298922.66,183.507,0.04627037642445708,UP,0.05666434433903277,UP,0.04870574118425007,UP,0.23257686990648332,UP,11.599999999999996,61.587455719389716,52523,77635,0.3829402129168922,0.3682702155530592,UP,UP
42,2006-07,47540,116341,58011,41716,0.3,7712,13870.188,1.9878743481543455,98.9804,6.7625,1363,1934,169.4,4.7,1.8082887711792655,299180.0,183.068,0.04636067918978541,UP,0.05387973037438316,UP,0.0476691640941593,UP,0.3258421509655676,UP,11.899999999999997,63.57533006754406,53886,79569,0.3718800152149759,0.35836942864504057,UP,UP
43,2006-08,47534,116527,58075,41824,0.2,7720,13926.648,1.9021075263969205,99.4106,6.524,1339,1877,169.4,4.7,1.7749523509116738,299435.33,182.594,0.04650970211163792,UP,0.05334778074473586,UP,0.043145503522244714,UP,0.23478281103084578,UP,12.099999999999996,65.47743759394098,55225,81446,0.36057570635754654,0.3471818370575892,UP,UP
44,2006-09,47528,116713,58139,41932,-0.5,7718,13983.108,1.9021075263969205,99.2207,6.4025,1317,2011,169.4,4.5,1.7227665977411035,299690.66,182.798,0.046658471104838575,DOWN,0.05282040625606872,UP,0.0400502875255315,UP,0.20628137774168867,UP,11.599999999999996,67.3795451203379,56542,83457,0.3490084838604055,0.338725032875493,UP,UP
